,අ,ආ,ඇ,ඈ,ඉ,ඊ,උ,ඌ,ඍ,ඎ,ඏ,ඐ,එ,ඒ,ඓ  ,ඔ,ඕ,ඖ,අං,අඃ,ආං,ආඃ,ඇං,ඇඃ,ඈං,ඈඃ,ඉං,ඉඃ,ඊං,ඊඃ,උං,උඃ,ඌං,ඌඃ,ඍං,ඍඃ,ඏං,ඏඃ,එං,එඃ,ඒං,ඒඃ,ඓං,ඓඃ,ඔං,ඔඃ,ඕං,ඕඃ,ඖං,ඖඃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ක්,ක,කා,කැ,කෑ,කි,කී,කු,කූ,කෘ,කෲ,කෟ,කෳ,කෙ,කේ,කෛ,කො,කෝ,කෞ,කං,කඃ,කාං,කාඃ,කැං,කැඃ,කෑං,කෑඃ,කිං,කිඃ,කීං,කීඃ,කුං,කුඃ,කූං,කූඃ,කෘං,කෘඃ,කෟං,කෟඃ,කෙං,කෙඃ,කේං,කේඃ,කෛං,කෛඃ,කොං,කොඃ,කෝං,කෝඃ,කෞං,කෞඃ,ක්‍ර ,ක්‍රා  ,ක්‍රැ ,ක්‍රෑ ,ක්‍රි,ක්‍රී,ක්‍රෙ,ක්‍රේ,ක්‍රෛ,ක්‍රො,ක්‍රෝ,ක්‍රෞ,ක්‍රං,ක්‍රඃ,ක්‍රාං,ක්‍රාඃ,ක්‍රැං,ක්‍රැඃ,ක්‍රෑං,ක්‍රෑඃ,ක්‍රිං,ක්‍රිඃ,ක්‍රීං,ක්‍රීඃ,ක්‍රෙං,ක්‍රෙඃ,ක්‍රේං,ක්‍රේඃ,ක්‍රෛං,ක්‍රෛඃ,ක්‍රොං,ක්‍රොඃ,ක්‍රෝං,ක්‍රෝඃ,ක්‍රෞං,ක්‍රෞඃ,ර්‍ක,,ර්‍කං,ර්‍කඃ,ක්‍ය ,ක්‍යා,ක්‍යු,ක්‍යූ,ක්‍යෙ,ක්‍යේ,ක්‍යො ,ක්‍යෝ ,ක්‍යං,ක්‍යඃ,ක්‍යාං,ක්‍යාඃ,ක්‍යුං,ක්‍යුඃ,ක්‍යූං,ක්‍යූඃ,ක්‍යෙං,ක්‍යෙඃ,ක්‍යේං,ක්‍යේඃ,ක්‍යොං,ක්‍යොඃ,ක්‍යෝං,ක්‍යෝඃ
ඛ්,ඛ,ඛා,ඛැ,ඛෑ,ඛි,ඛී,ඛු,ඛූ,ඛෘ,ඛෲ,ඛෟ,ඛෳ,ඛෙ,ඛේ,ඛෛ,ඛො,ඛෝ,ඛෞ,ඛං,ඛඃ,ඛාං,ඛාඃ,ඛැං,ඛැඃ,ඛෑං,ඛෑඃ,ඛිං,ඛිඃ,ඛීං,ඛීඃ,ඛුං,ඛුඃ,ඛූං,ඛූඃ,ඛෘං,ඛෘඃ,ඛෟං,ඛෟඃ,ඛෙං,ඛෙඃ,ඛේං,ඛේඃ,ඛෛං,ඛෛඃ,ඛොං,ඛොඃ,ඛෝං,ඛෝඃ,ඛෞං,ඛෞඃ,ඛ්‍ර ,ඛ්‍රා  ,ඛ්‍රැ ,ඛ්‍රෑ ,ඛ්‍රි,ඛ්‍රී,ඛ්‍රෙ,ඛ්‍රේ,ඛ්‍රෛ,ඛ්‍රො,ඛ්‍රෝ,ඛ්‍රෞ,ඛ්‍රං,ඛ්‍රඃ,ඛ්‍රාං,ඛ්‍රාඃ,ඛ්‍රැං,ඛ්‍රැඃ,ඛ්‍රෑං,ඛ්‍රෑඃ,ඛ්‍රිං,ඛ්‍රිඃ,ඛ්‍රීං,ඛ්‍රීඃ,ඛ්‍රෙං,ඛ්‍රෙඃ,ඛ්‍රේං,ඛ්‍රේඃ,ඛ්‍රෛං,ඛ්‍රෛඃ,ඛ්‍රොං,ඛ්‍රොඃ,ඛ්‍රෝං,ඛ්‍රෝඃ,ඛ්‍රෞං,ඛ්‍රෞඃ,ර්‍ඛ,,ර්‍ඛං,ර්‍ඛඃ,ඛ්‍ය ,ඛ්‍යා,ඛ්‍යු,ඛ්‍යූ,ඛ්‍යෙ,ඛ්‍යේ,ඛ්‍යො ,ඛ්‍යෝ ,ඛ්‍යං,ඛ්‍යඃ,ඛ්‍යාං,ඛ්‍යාඃ,ඛ්‍යුං,ඛ්‍යුඃ,ඛ්‍යූං,ඛ්‍යූඃ,ඛ්‍යෙං,ඛ්‍යෙඃ,ඛ්‍යේං,ඛ්‍යේඃ,ඛ්‍යොං,ඛ්‍යොඃ,ඛ්‍යෝං,ඛ්‍යෝඃ
ග්,ග,ගා,ගැ,ගෑ,ගි,ගී,ගු,ගූ,ගෘ,ගෲ,ගෟ,ගෳ,ගෙ,ගේ,ගෛ,ගො,ගෝ,ගෞ,ගං,ගඃ,ගාං,ගාඃ,ගැං,ගැඃ,ගෑං,ගෑඃ,ගිං,ගිඃ,ගීං,ගීඃ,ගුං,ගුඃ,ගූං,ගූඃ,ගෘං,ගෘඃ,ගෟං,ගෟඃ,ගෙං,ගෙඃ,ගේං,ගේඃ,ගෛං,ගෛඃ,ගොං,ගොඃ,ගෝං,ගෝඃ,ගෞං,ගෞඃ,ග්‍ර ,ග්‍රා  ,ග්‍රැ ,ග්‍රෑ ,ග්‍රි,ග්‍රී,ග්‍රෙ,ග්‍රේ,ග්‍රෛ,ග්‍රො,ග්‍රෝ,ග්‍රෞ,ග්‍රං,ග්‍රඃ,ග්‍රාං,ග්‍රාඃ,ග්‍රැං,ග්‍රැඃ,ග්‍රෑං,ග්‍රෑඃ,ග්‍රිං,ග්‍රිඃ,ග්‍රීං,ග්‍රීඃ,ග්‍රෙං,ග්‍රෙඃ,ග්‍රේං,ග්‍රේඃ,ග්‍රෛං,ග්‍රෛඃ,ග්‍රොං,ග්‍රොඃ,ග්‍රෝං,ග්‍රෝඃ,ග්‍රෞං,ග්‍රෞඃ,ර්‍ග,,ර්‍ගං,ර්‍ගඃ,ග්‍ය ,ග්‍යා,ග්‍යු,ග්‍යූ,ග්‍යෙ,ග්‍යේ,ග්‍යො ,ග්‍යෝ ,ග්‍යං,ග්‍යඃ,ග්‍යාං,ග්‍යාඃ,ග්‍යුං,ග්‍යුඃ,ග්‍යූං,ග්‍යූඃ,ග්‍යෙං,ග්‍යෙඃ,ග්‍යේං,ග්‍යේඃ,ග්‍යොං,ග්‍යොඃ,ග්‍යෝං,ග්‍යෝඃ
ඝ්,ඝ,ඝා,ඝැ,ඝෑ,ඝි,ඝී,ඝු,ඝූ,ඝෘ,ඝෲ,ඝෟ,ඝෳ,ඝෙ,ඝේ,ඝෛ,ඝො,ඝෝ,ඝෞ,ඝං,ඝඃ,ඝාං,ඝාඃ,ඝැං,ඝැඃ,ඝෑං,ඝෑඃ,ඝිං,ඝිඃ,ඝීං,ඝීඃ,ඝුං,ඝුඃ,ඝූං,ඝූඃ,ඝෘං,ඝෘඃ,ඝෟං,ඝෟඃ,ඝෙං,ඝෙඃ,ඝේං,ඝේඃ,ඝෛං,ඝෛඃ,ඝොං,ඝොඃ,ඝෝං,ඝෝඃ,ඝෞං,ඝෞඃ,ඝ්‍ර ,ඝ්‍රා  ,ඝ්‍රැ ,ඝ්‍රෑ ,ඝ්‍රි,ඝ්‍රී,ඝ්‍රෙ,ඝ්‍රේ,ඝ්‍රෛ,ඝ්‍රො,ඝ්‍රෝ,ඝ්‍රෞ,ඝ්‍රං,ඝ්‍රඃ,ඝ්‍රාං,ඝ්‍රාඃ,ඝ්‍රැං,ඝ්‍රැඃ,ඝ්‍රෑං,ඝ්‍රෑඃ,ඝ්‍රිං,ඝ්‍රිඃ,ඝ්‍රීං,ඝ්‍රීඃ,ඝ්‍රෙං,ඝ්‍රෙඃ,ඝ්‍රේං,ඝ්‍රේඃ,ඝ්‍රෛං,ඝ්‍රෛඃ,ඝ්‍රොං,ඝ්‍රොඃ,ඝ්‍රෝං,ඝ්‍රෝඃ,ඝ්‍රෞං,ඝ්‍රෞඃ,ර්‍ඝ,ර්‍ඝා,ර්‍ඝං,ර්‍ඝඃ,ඝ්‍ය ,ඝ්‍යා,ඝ්‍යු,ඝ්‍යූ,ඝ්‍යෙ,ඝ්‍යේ,ඝ්‍යො ,ඝ්‍යෝ ,ඝ්‍යං,ඝ්‍යඃ,ඝ්‍යාං,ඝ්‍යාඃ,ඝ්‍යුං,ඝ්‍යුඃ,ඝ්‍යූං,ඝ්‍යූඃ,ඝ්‍යෙං,ඝ්‍යෙඃ,ඝ්‍යේං,ඝ්‍යේඃ,ඝ්‍යොං,ඝ්‍යොඃ,ඝ්‍යෝං,ඝ්‍යෝඃ
ඞ්,ඞ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ඟ්,ඟ,ඟා,ඟැ,ඟෑ,ඟි,ඟී,ඟු,ඟූ,,,ඟෟ,ඟෳ,ඟෙ,ඟේ,ඟෛ,ඟො,ඟෝ,ඟෞ,ඟං,ඟඃ,ඟාං,ඟාඃ,ඟැං,ඟැඃ,ඟෑං,ඟෑඃ,ඟිං,ඟිඃ,ඟීං,ඟීඃ,ඟුං,ඟුඃ,ඟූං,ඟූඃ,,,ඟෟං,ඟෟඃ,ඟෙං,ඟෙඃ,ඟේං,ඟේඃ,ඟෛං,ඟෛඃ,ඟොං,ඟොඃ,ඟෝං,ඟෝඃ,ඟෞං,ඟෞඃ,ඟ්‍ර ,ඟ්‍රා  ,ඟ්‍රැ ,ඟ්‍රෑ ,ඟ්‍රි,ඟ්‍රී,ඟ්‍රෙ,ඟ්‍රේ,ඟ්‍රෛ,ඟ්‍රො,ඟ්‍රෝ,ඟ්‍රෞ,ඟ්‍රං,ඟ්‍රඃ,ඟ්‍රාං,ඟ්‍රාඃ,ඟ්‍රැං,ඟ්‍රැඃ,ඟ්‍රෑං,ඟ්‍රෑඃ,ඟ්‍රිං,ඟ්‍රිඃ,ඟ්‍රීං,ඟ්‍රීඃ,ඟ්‍රෙං,ඟ්‍රෙඃ,ඟ්‍රේං,ඟ්‍රේඃ,ඟ්‍රෛං,ඟ්‍රෛඃ,ඟ්‍රොං,ඟ්‍රොඃ,ඟ්‍රෝං,ඟ්‍රෝඃ,ඟ්‍රෞං,ඟ්‍රෞඃ,ර්‍ඟ,,ර්‍ඟං,ර්‍ඟඃ,ඟ්‍ය ,ඟ්‍යා,ඟ්‍යු,ඟ්‍යූ,ඟ්‍යෙ,ඟ්‍යේ,ඟ්‍යො ,ඟ්‍යෝ ,ඟ්‍යං,ඟ්‍යඃ,ඟ්‍යාං,ඟ්‍යාඃ,ඟ්‍යුං,ඟ්‍යුඃ,ඟ්‍යූං,ඟ්‍යූඃ,ඟ්‍යෙං,ඟ්‍යෙඃ,ඟ්‍යේං,ඟ්‍යේඃ,ඟ්‍යොං,ඟ්‍යොඃ,ඟ්‍යෝං,ඟ්‍යෝඃ
ච්,ච,චා,චැ,චෑ,චි,චී,චු,චූ,චෘ,චෲ,චෟ,චෳ,චෙ,චේ,චෛ,චො,චෝ,චෞ,චං,චඃ,චාං,චාඃ,චැං,චැඃ,චෑං,චෑඃ,චිං,චිඃ,චීං,චීඃ,චුං,චුඃ,චූං,චූඃ,චෘං,චෘඃ,චෟං,චෟඃ,චෙං,චෙඃ,චේං,චේඃ,චෛං,චෛඃ,චොං,චොඃ,චෝං,චෝඃ,චෞං,චෞඃ,ච්‍ර ,ච්‍රා  ,ච්‍රැ ,ච්‍රෑ ,ච්‍රි,ච්‍රී,ච්‍රෙ,ච්‍රේ,ච්‍රෛ,ච්‍රො,ච්‍රෝ,ච්‍රෞ,ච්‍රං,ච්‍රඃ,ච්‍රාං,ච්‍රාඃ,ච්‍රැං,ච්‍රැඃ,ච්‍රෑං,ච්‍රෑඃ,ච්‍රිං,ච්‍රිඃ,ච්‍රීං,ච්‍රීඃ,ච්‍රෙං,ච්‍රෙඃ,ච්‍රේං,ච්‍රේඃ,ච්‍රෛං,ච්‍රෛඃ,ච්‍රොං,ච්‍රොඃ,ච්‍රෝං,ච්‍රෝඃ,ච්‍රෞං,ච්‍රෞඃ,ර්‍ච,,ර්‍චං,ර්‍චඃ,ච්‍ය ,ච්‍යා,ච්‍යු,ච්‍යූ,ච්‍යෙ,ච්‍යේ,ච්‍යො ,ච්‍යෝ ,ච්‍යං,ච්‍යඃ,ච්‍යාං,ච්‍යාඃ,ච්‍යුං,ච්‍යුඃ,ච්‍යූං,ච්‍යූඃ,ච්‍යෙං,ච්‍යෙඃ,ච්‍යේං,ච්‍යේඃ,ච්‍යොං,ච්‍යොඃ,ච්‍යෝං,ච්‍යෝඃ
ඡ්,ඡ,ඡා,ඡැ,ඡෑ,ඡි,ඡී,ඡු,ඡූ,ඡෘ,ඡෲ,ඡෟ,ඡෳ,ඡෙ,ඡේ,ඡෛ,ඡො,ඡෝ,ඡෞ,ඡං,ඡඃ,ඡාං,ඡාඃ,ඡැං,ඡැඃ,ඡෑං,ඡෑඃ,ඡිං,ඡිඃ,ඡීං,ඡීඃ,ඡුං,ඡුඃ,ඡූං,ඡූඃ,ඡෘං,ඡෘඃ,ඡෟං,ඡෟඃ,ඡෙං,ඡෙඃ,ඡේං,ඡේඃ,ඡෛං,ඡෛඃ,ඡොං,ඡොඃ,ඡෝං,ඡෝඃ,ඡෞං,ඡෞඃ,ඡ්‍ර ,ඡ්‍රා  ,ඡ්‍රැ ,ඡ්‍රෑ ,ඡ්‍රි,ඡ්‍රී,ඡ්‍රෙ,ඡ්‍රේ,ඡ්‍රෛ,ඡ්‍රො,ඡ්‍රෝ,ඡ්‍රෞ,ඡ්‍රං,ඡ්‍රඃ,ඡ්‍රාං,ඡ්‍රාඃ,ඡ්‍රැං,ඡ්‍රැඃ,ඡ්‍රෑං,ඡ්‍රෑඃ,ඡ්‍රිං,ඡ්‍රිඃ,ඡ්‍රීං,ඡ්‍රීඃ,ඡ්‍රෙං,ඡ්‍රෙඃ,ඡ්‍රේං,ඡ්‍රේඃ,ඡ්‍රෛං,ඡ්‍රෛඃ,ඡ්‍රොං,ඡ්‍රොඃ,ඡ්‍රෝං,ඡ්‍රෝඃ,ඡ්‍රෞං,ඡ්‍රෞඃ,ර්‍ඡ,,ර්‍ඡං,ර්‍ඡඃ,ඡ්‍ය ,ඡ්‍යා,ඡ්‍යු,ඡ්‍යූ,ඡ්‍යෙ,ඡ්‍යේ,ඡ්‍යො ,ඡ්‍යෝ ,ඡ්‍යං,ඡ්‍යඃ,ඡ්‍යාං,ඡ්‍යාඃ,ඡ්‍යුං,ඡ්‍යුඃ,ඡ්‍යූං,ඡ්‍යූඃ,ඡ්‍යෙං,ඡ්‍යෙඃ,ඡ්‍යේං,ඡ්‍යේඃ,ඡ්‍යොං,ඡ්‍යොඃ,ඡ්‍යෝං,ඡ්‍යෝඃ
ජ්,ජ,ජා,ජැ,ජෑ,ජි,ජී,ජු,ජූ,ජෘ,ජෲ,ජෟ,ජෳ,ජෙ,ජේ,ජෛ,ජො,ජෝ,ජෞ,ජං,ජඃ,ජාං,ජාඃ,ජැං,ජැඃ,ජෑං,ජෑඃ,ජිං,ජිඃ,ජීං,ජීඃ,ජුං,ජුඃ,ජූං,ජූඃ,ජෘං,ජෘඃ,ජෟං,ජෟඃ,ජෙං,ජෙඃ,ජේං,ජේඃ,ජෛං,ජෛඃ,ජොං,ජොඃ,ජෝං,ජෝඃ,ජෞං,ජෞඃ,ජ්‍ර ,ජ්‍රා  ,ජ්‍රැ ,ජ්‍රෑ ,ජ්‍රි,ජ්‍රී,ජ්‍රෙ,ජ්‍රේ,ජ්‍රෛ,ජ්‍රො,ජ්‍රෝ,ජ්‍රෞ,ජ්‍රං,ජ්‍රඃ,ජ්‍රාං,ජ්‍රාඃ,ජ්‍රැං,ජ්‍රැඃ,ජ්‍රෑං,ජ්‍රෑඃ,ජ්‍රිං,ජ්‍රිඃ,ජ්‍රීං,ජ්‍රීඃ,ජ්‍රෙං,ජ්‍රෙඃ,ජ්‍රේං,ජ්‍රේඃ,ජ්‍රෛං,ජ්‍රෛඃ,ජ්‍රොං,ජ්‍රොඃ,ජ්‍රෝං,ජ්‍රෝඃ,ජ්‍රෞං,ජ්‍රෞඃ,ර්‍ජ,,ර්‍ජං,ර්‍ජඃ,ජ්‍ය ,ජ්‍යා,ජ්‍යු,ජ්‍යූ,ජ්‍යෙ,ජ්‍යේ,ජ්‍යො ,ජ්‍යෝ ,ජ්‍යං,ජ්‍යඃ,ජ්‍යාං,ජ්‍යාඃ,ජ්‍යුං,ජ්‍යුඃ,ජ්‍යූං,ජ්‍යූඃ,ජ්‍යෙං,ජ්‍යෙඃ,ජ්‍යේං,ජ්‍යේඃ,ජ්‍යොං,ජ්‍යොඃ,ජ්‍යෝං,ජ්‍යෝඃ
ඣ්,ඣ,ඣා,ඣැ,ඣෑ,ඣි,ඣී,ඣු,ඣූ,ඣෘ,ඣෲ,ඣෟ,ඣෳ,ඣෙ,ඣේ,ඣෛ,ඣො,ඣෝ,ඣෞ,ඣං,ඣඃ,ඣාං,ඣාඃ,ඣැං,ඣැඃ,ඣෑං,ඣෑඃ,ඣිං,ඣිඃ,ඣීං,ඣීඃ,ඣුං,ඣුඃ,ඣූං,ඣූඃ,ඣෘං,ඣෘඃ,ඣෟං,ඣෟඃ,ඣෙං,ඣෙඃ,ඣේං,ඣේඃ,ඣෛං ,ඣෛඃ,ඣොං,ඣොඃ,ඣෝං,ඣෝඃ,ඣෞං,ඣෞඃ,ඣ්‍ර ,ඣ්‍රා  ,ඣ්‍රැ ,ඣ්‍රෑ ,ඣ්‍රි,ඣ්‍රී,ඣ්‍රෙ,ඣ්‍රේ,ඣ්‍රෛ,ඣ්‍රො,ඣ්‍රෝ,ඣ්‍රෞ,ඣ්‍රං,ඣ්‍රඃ,ඣ්‍රාං,ඣ්‍රාඃ,ඣ්‍රැං,ඣ්‍රැඃ,ඣ්‍රෑං,ඣ්‍රෑඃ,ඣ්‍රිං,ඣ්‍රිඃ,ඣ්‍රීං,ඣ්‍රීඃ,ඣ්‍රෙං,ඣ්‍රෙඃ,ඣ්‍රේං,ඣ්‍රේඃ,ඣ්‍රෛං,ඣ්‍රෛඃ,ඣ්‍රොං,ඣ්‍රොඃ,ඣ්‍රෝං,ඣ්‍රෝඃ,ඣ්‍රෞං,ඣ්‍රෞඃ,ර්‍ඣ,,ර්‍ඣං,ර්‍ඣඃ,ඣ්‍ය ,ඣ්‍යා,ඣ්‍යු,ඣ්‍යූ,ඣ්‍යෙ,ඣ්‍යේ,ඣ්‍යො ,ඣ්‍යෝ ,ඣ්‍යං,ඣ්‍යඃ,ඣ්‍යාං,ඣ්‍යාඃ,ඣ්‍යුං,ඣ්‍යුඃ,ඣ්‍යූං,ඣ්‍යූඃ,ඣ්‍යෙං,ඣ්‍යෙඃ,ඣ්‍යේං,ඣ්‍යේඃ,ඣ්‍යොං,ඣ්‍යොඃ,ඣ්‍යෝං,ඣ්‍යෝඃ
ඤ්,ඤ,ඤා,ඤැ,ඤෑ,ඤි,ඤී,ඤු,ඤූ,ඤෘ,ඤෲ,ඤෟ,ඤෳ,ඤෙ,ඤේ,ඤෛ,ඤො,ඤෝ,ඤෞ,ඤං,ඤඃ,ඤාං,ඤාඃ,ඤැං,ඤැඃ,ඤෑං,ඤෑඃ,ඤිං,ඤිඃ,ඤීං,ඤීඃ,ඤුං,ඤුඃ,ඤූං,ඤූඃ,ඤෘං,ඤෘඃ,ඤෟං,ඤෟඃ,ඤෙං,ඤෙඃ,ඤේං,ඤේඃ,ඤෛං,ඤෛඃ,ඤොං,ඤොඃ,ඤෝං,ඤෝඃ,ඤෞං,ඤෞඃ,ඤ්‍ර ,ඤ්‍රා  ,ඤ්‍රැ ,ඤ්‍රෑ ,ඤ්‍රි,ඤ්‍රී,ඤ්‍රෙ,ඤ්‍රේ,ඤ්‍රෛ,ඤ්‍රො,ඤ්‍රෝ,ඤ්‍රෞ,ඤ්‍රං,ඤ්‍රඃ,ඤ්‍රාං,ඤ්‍රාඃ,ඤ්‍රැං,ඤ්‍රැඃ,ඤ්‍රෑං,ඤ්‍රෑඃ,ඤ්‍රිං,ඤ්‍රිඃ,ඤ්‍රීං,ඤ්‍රීඃ,ඤ්‍රෙං,ඤ්‍රෙඃ,ඤ්‍රේං,ඤ්‍රේඃ,ඤ්‍රෛං,ඤ්‍රෛඃ,ඤ්‍රොං,ඤ්‍රොඃ,ඤ්‍රෝං,ඤ්‍රෝඃ,ඤ්‍රෞං,ඤ්‍රෞඃ,ර්‍ඤ,,ර්‍ඤං,ර්‍ඤඃ,ඤ්‍ය ,ඤ්‍යා,ඤ්‍යු,ඤ්‍යූ,ඤ්‍යෙ,ඤ්‍යේ,ඤ්‍යො ,ඤ්‍යෝ ,ඤ්‍යං,ඤ්‍යඃ,ඤ්‍යාං,ඤ්‍යාඃ,ඤ්‍යුං,ඤ්‍යුඃ,ඤ්‍යූං,ඤ්‍යූඃ,ඤ්‍යෙං,ඤ්‍යෙඃ,ඤ්‍යේං,ඤ්‍යේඃ,ඤ්‍යොං,ඤ්‍යොඃ,ඤ්‍යෝං,ඤ්‍යෝඃ
ඦ්,ඦ,ඦා,ඦැ,ඦෑ,ඦි,ඦී,ඦු,ඦූ,ඦෘ,ඦෲ,ඦෟ,ඦෳ,ඦෙ,ඦේ,ඦෛ,ඦො,ඦෝ,ඦෞ,ඦං,ඦඃ,ඦාං,ඦාඃ,ඦැං,ඦැඃ,ඦෑං,ඦෑඃ,ඦිං,ඦිඃ,ඦීං,ඦීඃ,ඦුං,ඦුඃ,ඦූං,ඦූඃ,ඦෘං,ඦෘඃ,ඦෟං,ඦෟඃ,ඦෙං,ඦෙඃ,ඦේං,ඦේඃ,ඦෛං,ඦෛඃ,ඦොං,ඦොඃ,ඦෝං,ඦෝඃ,ඦෞං,ඦෞඃ,ඦ්‍ර ,ඦ්‍රා  ,ඦ්‍රැ ,ඦ්‍රෑ ,ඦ්‍රි,ඦ්‍රී,ඦ්‍රෙ,ඦ්‍රේ,ඦ්‍රෛ,ඦ්‍රො,ඦ්‍රෝ,ඦ්‍රෞ,ඦ්‍රං,ඦ්‍රඃ,ඦ්‍රාං,ඦ්‍රාඃ,ඦ්‍රැං,ඦ්‍රැඃ,ඦ්‍රෑං,ඦ්‍රෑඃ,ඦ්‍රිං,ඦ්‍රිඃ,ඦ්‍රීං,ඦ්‍රීඃ,ඦ්‍රෙං,ඦ්‍රෙඃ,ඦ්‍රේං,ඦ්‍රේඃ,ඦ්‍රෛං,ඦ්‍රෛඃ,ඦ්‍රොං,ඦ්‍රොඃ,ඦ්‍රෝං,ඦ්‍රෝඃ,ඦ්‍රෞං,ඦ්‍රෞඃ,ර්‍ඦ,,ර්‍ඦං,ර්‍ඦඃ,ඦ්‍ය ,ඦ්‍යා,ඦ්‍යු,ඦ්‍යූ,ඦ්‍යෙ,ඦ්‍යේ,ඦ්‍යො ,ඦ්‍යෝ ,ඦ්‍යං,ඦ්‍යඃ,ඦ්‍යාං,ඦ්‍යාඃ,ඦ්‍යුං,ඦ්‍යුඃ,ඦ්‍යූං,ඦ්‍යූඃ,ඦ්‍යෙං,ඦ්‍යෙඃ,ඦ්‍යේං,ඦ්‍යේඃ,ඦ්‍යොං,ඦ්‍යොඃ,ඦ්‍යෝං,ඦ්‍යෝඃ
ට්,ට,ටා,ටැ,ටෑ,ටි,ටී,ටු,ටූ,ටෘ,ටෲ,ටෟ,ටෳ,ටෙ,ටේ,ටෛ,ටො,ටෝ,ටෞ,ටං,ටඃ,ටාං,ටාඃ,ටැං,ටැඃ,ටෑං,ටෑඃ,ටිං,ටිඃ,ටීං,ටීඃ,ටුං,ටුඃ,ටූං,ටූඃ,ටෘං,ටෘඃ,ටෟං,ටෟඃ,ටෙං,ටෙඃ,ටේං,ටේඃ,ටෛං,ටෛඃ,ටොං,ටොඃ,ටෝං,ටෝඃ,ටෞං,ටෞඃ,ට්‍ර ,ට්‍රා  ,ට්‍රැ ,ට්‍රෑ ,ට්‍රි,ට්‍රී,ට්‍රෙ,ට්‍රේ,ට්‍රෛ,ට්‍රො,ට්‍රෝ,ට්‍රෞ,ට්‍රං,ට්‍රඃ,ට්‍රාං,ට්‍රාඃ,ට්‍රැං,ට්‍රැඃ,ට්‍රෑං,ට්‍රෑඃ,ට්‍රිං,ට්‍රිඃ,ට්‍රීං,ට්‍රීඃ,ට්‍රෙං,ට්‍රෙඃ,ට්‍රේං,ට්‍රේඃ,ට්‍රෛං,ට්‍රෛඃ,ට්‍රොං,ට්‍රොඃ,ට්‍රෝං,ට්‍රෝඃ,ට්‍රෞං,ට්‍රෞඃ,ර්‍ට,,ර්‍ටං,ර්‍ටඃ,ට්‍ය ,ට්‍යා,ට්‍යු,ට්‍යූ,ට්‍යෙ,ට්‍යේ,ට්‍යො ,ට්‍යෝ ,ට්‍යං,ට්‍යඃ,ට්‍යාං,ට්‍යාඃ,ට්‍යුං,ට්‍යුඃ,ට්‍යූං,ට්‍යූඃ,ට්‍යෙං,ට්‍යෙඃ,ට්‍යේං,ට්‍යේඃ,ට්‍යොං,ට්‍යොඃ,ට්‍යෝං,ට්‍යෝඃ
