,අ,ආ,ඇ,ඈ,ඉ,ඊ,උ,ඌ,ඍ,ඎ,ඏ,ඐ,එ,ඒ,ඓ  ,ඔ,ඕ,ඖ,අං,අඃ,ආං,ආඃ,ඇං,ඇඃ,ඈං,ඈඃ,ඉං,ඉඃ,ඊං,ඊඃ,උං,උඃ,ඌං,ඌඃ,ඍං,ඍඃ,ඏං,ඏඃ,එං,එඃ,ඒං,ඒඃ,ඓං,ඓඃ,ඔං,ඔඃ,ඕං,ඕඃ,ඖං,ඖඃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
බ්,බ,බා,බැ,බෑ,බි,බී,බු,බූ,බෘ,බෲ,බෟ,බෳ,බෙ,බේ,බෛ,බො,බෝ,බෞ,බං,බඃ,බාං,බාඃ,බැං,බැඃ,බෑං,බෑඃ,බිං,බිඃ,බීං,බීඃ,බුං,බුඃ,බූං,බූඃ,බෘං,බෘඃ,බෟං,බෟඃ,බෙං,බෙඃ,බේං,බේඃ,බෛං,බෛඃ,බොං,බොඃ,බෝං,බෝඃ,බෞං,බෞඃ,බ්‍ර ,බ්‍රා  ,බ්‍රැ ,බ්‍රෑ ,බ්‍රි,බ්‍රී,බ්‍රෙ,බ්‍රේ,බ්‍රෛ,බ්‍රො,බ්‍රෝ,බ්‍රෞ,බ්‍රං,බ්‍රඃ,බ්‍රාං,බ්‍රාඃ,බ්‍රැං,බ්‍රැඃ,බ්‍රෑං,බ්‍රෑඃ,බ්‍රිං,බ්‍රිඃ,බ්‍රීං,බ්‍රීඃ,බ්‍රෙං,බ්‍රෙඃ,බ්‍රේං,බ්‍රේඃ,බ්‍රෛං,බ්‍රෛඃ,බ්‍රොං,බ්‍රොඃ,බ්‍රෝං,බ්‍රෝඃ,බ්‍රෞං,බ්‍රෞඃ,ර්‍බ,,ර්‍බං,ර්‍බඃ,බ්‍ය ,බ්‍යා,බ්‍යු,බ්‍යූ,බ්‍යෙ,බ්‍යේ,බ්‍යො ,බ්‍යෝ ,බ්‍යං,බ්‍යඃ,බ්‍යාං,බ්‍යාඃ,බ්‍යුං,බ්‍යුඃ,බ්‍යූං,බ්‍යූඃ,බ්‍යෙං,බ්‍යෙඃ,බ්‍යේං,බ්‍යේඃ,බ්‍යොං,බ්‍යොඃ,බ්‍යෝං,බ්‍යෝඃ
භ්,භ,භා,භැ,භෑ,භි,භී,භු,භූ,භෘ,භෲ,භෟ,භෳ,භෙ,භේ,භෛ,භො,භෝ,භෞ,භං,භඃ,භාං,භාඃ,භැං,භැඃ,භෑං,භෑඃ,භිං,භිඃ,භීං,භීඃ,භුං,භුඃ,භූං,භූඃ,භෘං,භෘඃ,භෟං,භෟඃ,භෙං,භෙඃ,භේං,භේඃ,භෛං,භෛඃ,භොං,භොඃ,භෝං,භෝඃ,භෞං,භෞඃ,භ්‍ර ,භ්‍රා  ,භ්‍රැ ,භ්‍රෑ ,භ්‍රි,භ්‍රී,භ්‍රෙ,භ්‍රේ,භ්‍රෛ,භ්‍රො,භ්‍රෝ,භ්‍රෞ,භ්‍රං,භ්‍රඃ,භ්‍රාං,භ්‍රාඃ,භ්‍රැං,භ්‍රැඃ,භ්‍රෑං,භ්‍රෑඃ,භ්‍රිං,භ්‍රිඃ,භ්‍රීං,භ්‍රීඃ,භ්‍රෙං,භ්‍රෙඃ,භ්‍රේං,භ්‍රේඃ,භ්‍රෛං,භ්‍රෛඃ,භ්‍රොං,භ්‍රොඃ,භ්‍රෝං,භ්‍රෝඃ,භ්‍රෞං,භ්‍රෞඃ,ර්‍භ,,ර්‍භං,ර්‍භඃ,භ්‍ය ,භ්‍යා,භ්‍යු,භ්‍යූ,භ්‍යෙ,භ්‍යේ,භ්‍යො ,භ්‍යෝ ,භ්‍යං,භ්‍යඃ,භ්‍යාං,භ්‍යාඃ,භ්‍යුං,භ්‍යුඃ,භ්‍යූං,භ්‍යූඃ,භ්‍යෙං,භ්‍යෙඃ,භ්‍යේං,භ්‍යේඃ,භ්‍යොං,භ්‍යොඃ,භ්‍යෝං,භ්‍යෝඃ
ම්,ම,මා,මැ,මෑ,මි,මී,මු,මූ,මෘ,මෲ,මෟ,මෳ,මෙ,මේ,මෛ,මො,මෝ,මෞ,මං,මඃ,මාං,මාඃ,මැං,මැඃ,මෑං,මෑඃ,මිං,මිඃ,මීං,මීඃ,මුං,මුඃ,මූං,මූඃ,මෘං,මෘඃ,මෟං,මෟඃ,මෙං,මෙඃ,මේං,මේඃ,මෛං,මෛඃ,මොං,මොඃ,මෝං,මෝඃ,මෞං,මෞඃ,ම්‍ර ,ම්‍රා  ,ම්‍රැ ,ම්‍රෑ ,ම්‍රි,ම්‍රී,ම්‍රෙ,ම්‍රේ,ම්‍රෛ,ම්‍රො,ම්‍රෝ,ම්‍රෞ,ම්‍රං,ම්‍රඃ,ම්‍රාං,ම්‍රාඃ,ම්‍රැං,ම්‍රැඃ,ම්‍රෑං,ම්‍රෑඃ,ම්‍රිං,ම්‍රිඃ,ම්‍රීං,ම්‍රීඃ,ම්‍රෙං,ම්‍රෙඃ,ම්‍රේං,ම්‍රේඃ,ම්‍රෛං,ම්‍රෛඃ,ම්‍රොං,ම්‍රොඃ,ම්‍රෝං,ම්‍රෝඃ,ම්‍රෞං,ම්‍රෞඃ,ර්‍ම,,ර්‍මං,ර්‍මඃ,ම්‍ය ,ම්‍යා,ම්‍යු,ම්‍යූ,ම්‍යෙ,ම්‍යේ,ම්‍යො ,ම්‍යෝ ,ම්‍යං,ම්‍යඃ,ම්‍යාං,ම්‍යාඃ,ම්‍යුං,ම්‍යුඃ,ම්‍යූං,ම්‍යූඃ,ම්‍යෙං,ම්‍යෙඃ,ම්‍යේං,ම්‍යේඃ,ම්‍යොං,ම්‍යොඃ,ම්‍යෝං,ම්‍යෝඃ
ඹ්,ඹ,ඹා,ඹැ,ඹෑ,ඹි,ඹී,ඹු,ඹූ,,,ඹෟ,ඹෳ,ඹෙ,ඹේ,ඹෛ,ඹො,ඹෝ,ඹෞ,ඹං,ඹඃ,ඹාං,ඹාඃ,ඹැං,ඹැඃ,ඹෑං,ඹෑඃ,ඹිං,ඹිඃ,ඹීං,ඹීඃ,ඹුං,ඹුඃ,ඹූං,ඹූඃ,ඹෘං,ඹෘඃ,ඹෟං,ඹෟඃ,ඹෙං,ඹෙඃ,ඹේං,ඹේඃ,ඹෛං,ඹෛඃ,ඹොං,ඹොඃ,ඹෝං,ඹෝඃ,ඹෞං,ඹෞඃ,ඹ්‍ර ,ඹ්‍රා  ,ඹ්‍රැ ,ඹ්‍රෑ ,ඹ්‍රි,ඹ්‍රී,ඹ්‍රෙ,ඹ්‍රේ,ඹ්‍රෛ,ඹ්‍රො,ඹ්‍රෝ,ඹ්‍රෞ,ඹ්‍රං,ඹ්‍රඃ,ඹ්‍රාං,ඹ්‍රාඃ,ඹ්‍රැං,ඹ්‍රැඃ,ඹ්‍රෑං,ඹ්‍රෑඃ,ඹ්‍රිං,ඹ්‍රිඃ,ඹ්‍රීං,ඹ්‍රීඃ,ඹ්‍රෙං,ඹ්‍රෙඃ,ඹ්‍රේං,ඹ්‍රේඃ,ඹ්‍රෛං,ඹ්‍රෛඃ,ඹ්‍රොං,ඹ්‍රොඃ,ඹ්‍රෝං,ඹ්‍රෝඃ,ඹ්‍රෞං,ඹ්‍රෞඃ,ර්‍ඹ,,ර්‍ඹං,ර්‍ඹඃ,ඹ්‍ය ,ඹ්‍යා,ඹ්‍යු,ඹ්‍යූ,ඹ්‍යෙ,ඹ්‍යේ,ඹ්‍යො ,ඹ්‍යෝ ,ඹ්‍යං,ඹ්‍යඃ,ඹ්‍යාං,ඹ්‍යාඃ,ඹ්‍යුං,ඹ්‍යුඃ,ඹ්‍යූං,ඹ්‍යූඃ,ඹ්‍යෙං,ඹ්‍යෙඃ,ඹ්‍යේං,ඹ්‍යේඃ,ඹ්‍යොං,ඹ්‍යොඃ,ඹ්‍යෝං,ඹ්‍යෝඃ
ය්,ය,යා,යැ,යෑ,යි,යී,යු,යූ,යෘ,යෲ,යෟ,යෳ,යෙ,යේ,යෛ,යො,යෝ,යෞ,යං,යඃ,යාං,යාඃ,යැං,යැඃ,යෑං,යෑඃ,යිං,යිඃ,යීං,යීඃ,යුං,යුඃ,යූං,යූඃ,යෘං,යෘඃ,යෟං,යෟඃ,යෙං,යෙඃ,යේං,යේඃ,යෛං,යෛඃ,යොං,යොඃ,යෝං,යෝඃ,යෞං,යෞඃ,ය්‍ර ,ය්‍රා  ,ය්‍රැ ,ය්‍රෑ ,ය්‍රි,ය්‍රී,ය්‍රෙ,ය්‍රේ,ය්‍රෛ,ය්‍රො,ය්‍රෝ,ය්‍රෞ,ය්‍රං,ය්‍රඃ,ය්‍රාං,ය්‍රාඃ,ය්‍රැං,ය්‍රැඃ,ය්‍රෑං,ය්‍රෑඃ,ය්‍රිං,ය්‍රිඃ,ය්‍රීං,ය්‍රීඃ,ය්‍රෙං,ය්‍රෙඃ,ය්‍රේං,ය්‍රේඃ,ය්‍රෛං,ය්‍රෛඃ,ය්‍රොං,ය්‍රොඃ,ය්‍රෝං,ය්‍රෝඃ,ය්‍රෞං,ය්‍රෞඃ,ර්‍ය,ර්‍යා,ර්‍යං,ර්‍යඃ,ය්‍ය ,ය්‍යා,ය්‍යු,ය්‍යූ,ය්‍යෙ,ය්‍යේ,ය්‍යො ,ය්‍යෝ ,ය්‍යං,ය්‍යඃ,ය්‍යාං,ය්‍යාඃ,ය්‍යුං,ය්‍යුඃ,ය්‍යූං,ය්‍යූඃ,ය්‍යෙං,ය්‍යෙඃ,ය්‍යේං,ය්‍යේඃ,ය්‍යොං,ය්‍යොඃ,ය්‍යෝං,ය්‍යෝඃ
ර්,ර,රා,රැ,රෑ,රි,රී,රු,රූ,රෘ,රෲ,රෟ,රෳ,රෙ,රේ,රෛ,රො,රෝ,රෞ,රං,රඃ,රාං,රාඃ,රැං,රැඃ,රෑං,රෑඃ,රිං,රිඃ,රීං,රීඃ,රුං,රුඃ,රූං,රූඃ,රෘං,රෘඃ,රෟං,රෟඃ,රෙං,රෙඃ,රේං,රේඃ,රෛං,රෛඃ,රොං,රොඃ,රෝං,රෝඃ,රෞං,රෞඃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ල්,ල,ලා,ලැ,ලෑ,ලි,ලී,ලු,ලූ,ලෘ,ලෲ,ලෟ,ලෳ,ලෙ,ලේ,ලෛ,ලො,ලෝ,ලෞ,ලං,ලඃ,ලාං,ලාඃ,ලැං,ලැඃ,ලෑං,ලෑඃ,ලිං,ලිඃ,ලීං,ලීඃ,ලුං,ලුඃ,ලූං,ලූඃ,ලෘං,ලෘඃ,ලෟං,ලෟඃ,ලෙං,ලෙඃ,ලේං,ලේඃ,ලෛං,ලෛඃ,ලොං,ලොඃ,ලෝං,ලෝඃ,ලෞං,ලෞඃ,ල්‍ර ,ල්‍රා  ,ල්‍රැ ,ල්‍රෑ ,ල්‍රි,ල්‍රී,ල්‍රෙ,ල්‍රේ,ල්‍රෛ,ල්‍රො,ල්‍රෝ,ල්‍රෞ,ල්‍රං,ල්‍රඃ,ල්‍රාං,ල්‍රාඃ,ල්‍රැං,ල්‍රැඃ,ල්‍රෑං,ල්‍රෑඃ,ල්‍රිං,ල්‍රිඃ,ල්‍රීං,ල්‍රීඃ,ල්‍රෙං,ල්‍රෙඃ,ල්‍රේං,ල්‍රේඃ,ල්‍රෛං,ල්‍රෛඃ,ල්‍රොං,ල්‍රොඃ,ල්‍රෝං,ල්‍රෝඃ,ල්‍රෞං,ල්‍රෞඃ,ර්‍ල,,ර්‍ලං,ර්‍ලඃ,ල්‍ය ,ල්‍යා,ල්‍යු,ල්‍යූ,ල්‍යෙ,ල්‍යේ,ල්‍යො ,ල්‍යෝ ,ල්‍යං,ල්‍යඃ,ල්‍යාං,ල්‍යාඃ,ල්‍යුං,ල්‍යුඃ,ල්‍යූං,ල්‍යූඃ,ල්‍යෙං,ල්‍යෙඃ,ල්‍යේං,ල්‍යේඃ,ල්‍යොං,ල්‍යොඃ,ල්‍යෝං,ල්‍යෝඃ
ව්,ව,වා,වැ,වෑ,වි,වී,වු,වූ,වෘ,වෲ,වෟ,වෳ,වෙ,වේ,වෛ,වො,වෝ,වෞ,වං,වඃ,වාං,වාඃ,වැං,වැඃ,වෑං,වෑඃ,විං,විඃ,වීං,වීඃ,වුං,වුඃ,වූං,වූඃ,වෘං,වෘඃ,වෟං,වෟඃ,වෙං,වෙඃ,වේං,වේඃ,වෛං,වෛඃ,වොං,වොඃ,වෝං,වෝඃ,වෞං,වෞඃ,ව්‍ර ,ව්‍රා  ,ව්‍රැ ,ව්‍රෑ ,ව්‍රි,ව්‍රී,ව්‍රෙ,ව්‍රේ,ව්‍රෛ,ව්‍රො,ව්‍රෝ,ව්‍රෞ,ව්‍රං,ව්‍රඃ,ව්‍රාං,ව්‍රාඃ,ව්‍රැං,ව්‍රැඃ,ව්‍රෑං,ව්‍රෑඃ,ව්‍රිං,ව්‍රිඃ,ව්‍රීං,ව්‍රීඃ,ව්‍රෙං,ව්‍රෙඃ,ව්‍රේං,ව්‍රේඃ,ව්‍රෛං,ව්‍රෛඃ,ව්‍රොං,ව්‍රොඃ,ව්‍රෝං,ව්‍රෝඃ,ව්‍රෞං,ව්‍රෞඃ,ර්‍ව,,ර්‍වං,ර්‍වඃ,ව්‍ය ,ව්‍යා,ව්‍යු,ව්‍යූ,ව්‍යෙ,ව්‍යේ,ව්‍යො ,ව්‍යෝ ,ව්‍යං,ව්‍යඃ,ව්‍යාං,ව්‍යාඃ,ව්‍යුං,ව්‍යුඃ,ව්‍යූං,ව්‍යූඃ,ව්‍යෙං,ව්‍යෙඃ,ව්‍යේං,ව්‍යේඃ,ව්‍යොං,ව්‍යොඃ,ව්‍යෝං,ව්‍යෝඃ
ශ්,ශ,ශා,ශැ,ශෑ,ශි,ශී,ශු,ශූ,ශෘ,ශෲ,ශෟ,ශෳ,ශෙ,ශේ,ශෛ,ශො,ශෝ,ශෞ,ශං,ශඃ,ශාං,ශාඃ,ශැං,ශැඃ,ශෑං,ශෑඃ,ශිං,ශිඃ,ශීං,ශීඃ,ශුං,ශුඃ,ශූං,ශූඃ,ශෘං,ශෘඃ,ශෟං,ශෟඃ,ශෙං,ශෙඃ,ශේං,ශේඃ,ශෛං,ශෛඃ,ශොං,ශොඃ,ශෝං,ශෝඃ,ශෞං,ශෞඃ,ශ්‍ර ,ශ්‍රා  ,ශ්‍රැ ,ශ්‍රෑ ,ශ්‍රි,ශ්‍රී,ශ්‍රෙ,ශ්‍රේ,ශ්‍රෛ,ශ්‍රො,ශ්‍රෝ,ශ්‍රෞ,ශ්‍රං,ශ්‍රඃ,ශ්‍රාං,ශ්‍රාඃ,ශ්‍රැං,ශ්‍රැඃ,ශ්‍රෑං,ශ්‍රෑඃ,ශ්‍රිං,ශ්‍රිඃ,ශ්‍රීං,ශ්‍රීඃ,ශ්‍රෙං,ශ්‍රෙඃ,ශ්‍රේං,ශ්‍රේඃ,ශ්‍රෛං,ශ්‍රෛඃ,ශ්‍රොං,ශ්‍රොඃ,ශ්‍රෝං,ශ්‍රෝඃ,ශ්‍රෞං,ශ්‍රෞඃ,ර්‍ශ,,ර්‍ශං,ර්‍ශඃ,ශ්‍ය ,ශ්‍යා,ශ්‍යු,ශ්‍යූ,ශ්‍යෙ,ශ්‍යේ,ශ්‍යො ,ශ්‍යෝ ,ශ්‍යං,ශ්‍යඃ,ශ්‍යාං,ශ්‍යාඃ,ශ්‍යුං,ශ්‍යුඃ,ශ්‍යූං,ශ්‍යූඃ,ශ්‍යෙං,ශ්‍යෙඃ,ශ්‍යේං,ශ්‍යේඃ,ශ්‍යොං,ශ්‍යොඃ,ශ්‍යෝං,ශ්‍යෝඃ
ෂ්,ෂ,ෂා,ෂැ,ෂෑ,ෂි,ෂී,ෂු,ෂූ,ෂෘ,ෂෲ,ෂෟ,ෂෳ,ෂෙ,ෂේ,ෂෛ,ෂො,ෂෝ,ෂෞ,ෂං,ෂඃ,ෂාං,ෂාඃ,ෂැං,ෂැඃ,ෂෑං,ෂෑඃ,ෂිං,ෂිඃ,ෂීං,ෂීඃ,ෂුං,ෂුඃ,ෂූං,ෂූඃ,ෂෘං,ෂෘඃ,ෂෟං,ෂෟඃ,ෂෙං,ෂෙඃ,ෂේං,ෂේඃ,ෂෛං,ෂෛඃ,ෂොං,ෂොඃ,ෂෝං,ෂෝඃ,ෂෞං,ෂෞඃ,ෂ්‍ර ,ෂ්‍රා  ,ෂ්‍රැ ,ෂ්‍රෑ ,ෂ්‍රි,ෂ්‍රී,ෂ්‍රෙ,ෂ්‍රේ,ෂ්‍රෛ,ෂ්‍රො,ෂ්‍රෝ,ෂ්‍රෞ,ෂ්‍රං,ෂ්‍රඃ,ෂ්‍රාං,ෂ්‍රාඃ,ෂ්‍රැං,ෂ්‍රැඃ,ෂ්‍රෑං,ෂ්‍රෑඃ,ෂ්‍රිං,ෂ්‍රිඃ,ෂ්‍රීං,ෂ්‍රීඃ,ෂ්‍රෙං,ෂ්‍රෙඃ,ෂ්‍රේං,ෂ්‍රේඃ,ෂ්‍රෛං,ෂ්‍රෛඃ,ෂ්‍රොං,ෂ්‍රොඃ,ෂ්‍රෝං,ෂ්‍රෝඃ,ෂ්‍රෞං,ෂ්‍රෞඃ,ර්‍ෂ,,ර්‍ෂං,ර්‍ෂඃ,ෂ්‍ය ,ෂ්‍යා,ෂ්‍යු,ෂ්‍යූ,ෂ්‍යෙ,ෂ්‍යේ,ෂ්‍යො ,ෂ්‍යෝ ,ෂ්‍යං,ෂ්‍යඃ,ෂ්‍යාං,ෂ්‍යාඃ,ෂ්‍යුං,ෂ්‍යුඃ,ෂ්‍යූං,ෂ්‍යූඃ,ෂ්‍යෙං,ෂ්‍යෙඃ,ෂ්‍යේං,ෂ්‍යේඃ,ෂ්‍යොං,ෂ්‍යොඃ,ෂ්‍යෝං,ෂ්‍යෝඃ
ස්,ස,සා,සැ,සෑ,සි,සී,සු,සූ,සෘ,සෲ,සෟ,සෳ,සෙ,සේ,සෛ,සො,සෝ,සෞ,සං,සඃ,සාං,සාඃ,සැං,සැඃ,සෑං,සෑඃ,සිං,සිඃ,සීං,සීඃ,සුං,සුඃ,සූං,සූඃ,සෘං,සෘඃ,සෟං,සෟඃ,සෙං,සෙඃ,සේං,සේඃ,සෛං,සෛඃ,සොං,සොඃ,සෝං,සෝඃ,සෞං,සෞඃ,ස්‍ර ,ස්‍රා  ,ස්‍රැ ,ස්‍රෑ ,ස්‍රි,ස්‍රී,ස්‍රෙ,ස්‍රේ,ස්‍රෛ,ස්‍රො,ස්‍රෝ,ස්‍රෞ,ස්‍රං,ස්‍රඃ,ස්‍රාං,ස්‍රාඃ,ස්‍රැං,ස්‍රැඃ,ස්‍රෑං,ස්‍රෑඃ,ස්‍රිං,ස්‍රිඃ,ස්‍රීං,ස්‍රීඃ,ස්‍රෙං,ස්‍රෙඃ,ස්‍රේං,ස්‍රේඃ,ස්‍රෛං,ස්‍රෛඃ,ස්‍රොං,ස්‍රොඃ,ස්‍රෝං,ස්‍රෝඃ,ස්‍රෞං,ස්‍රෞඃ,ර්‍ස,,ර්‍සං,ර්‍සඃ,ස්‍ය ,ස්‍යා,ස්‍යු,ස්‍යූ,ස්‍යෙ,ස්‍යේ,ස්‍යො ,ස්‍යෝ ,ස්‍යං,ස්‍යඃ,ස්‍යාං,ස්‍යාඃ,ස්‍යුං,ස්‍යුඃ,ස්‍යූං,ස්‍යූඃ,ස්‍යෙං,ස්‍යෙඃ,ස්‍යේං,ස්‍යේඃ,ස්‍යොං,ස්‍යොඃ,ස්‍යෝං,ස්‍යෝඃ
හ්,හ,හා,හැ,හෑ,හි,හී,හු,හූ,හෘ,හෲ,හෟ,හෳ,හෙ,හේ,හෛ,හො,හෝ,හෞ,හං,හඃ,හාං,හාඃ,හැං,හැඃ,හෑං,හෑඃ,හිං,හිඃ,හීං,හීඃ,හුං,හුඃ,හූං,හූඃ,හෘං,හෘඃ,හෟං,හෟඃ,හෙං,හෙඃ,හේං,හේඃ,හෛං,හෛඃ,හොං,හොඃ,හෝං,හෝඃ,හෞං,හෞඃ,හ්‍ර ,හ්‍රා  ,හ්‍රැ ,හ්‍රෑ ,හ්‍රි,හ්‍රී,හ්‍රෙ,හ්‍රේ,හ්‍රෛ,හ්‍රො,හ්‍රෝ,හ්‍රෞ,හ්‍රං,හ්‍රඃ,හ්‍රාං,හ්‍රාඃ,හ්‍රැං,හ්‍රැඃ,හ්‍රෑං,හ්‍රෑඃ,හ්‍රිං,හ්‍රිඃ,හ්‍රීං,හ්‍රීඃ,හ්‍රෙං,හ්‍රෙඃ,හ්‍රේං,හ්‍රේඃ,හ්‍රෛං,හ්‍රෛඃ,හ්‍රොං,හ්‍රොඃ,හ්‍රෝං,හ්‍රෝඃ,හ්‍රෞං,හ්‍රෞඃ,ර්‍හ,,ර්‍හං,ර්‍හඃ,හ්‍ය ,හ්‍යා,හ්‍යු,හ්‍යූ,හ්‍යෙ,හ්‍යේ,හ්‍යො ,හ්‍යෝ ,හ්‍යං,හ්‍යඃ,හ්‍යාං,හ්‍යාඃ,හ්‍යුං,හ්‍යුඃ,හ්‍යූං,හ්‍යූඃ,හ්‍යෙං,හ්‍යෙඃ,හ්‍යේං,හ්‍යේඃ,හ්‍යොං,හ්‍යොඃ,හ්‍යෝං,හ්‍යෝඃ
ළ්,ළ,ළා,ළැ,ළෑ,ළි,ළී,ළු,ළූ,ළෘ,ළෲ,ළෟ,ළෳ,ළෙ,ළේ,ළෛ,ළො,ළෝ,ළෞ,ළං,ළඃ,ළාං,ළාඃ,ළැං,ළැඃ,ළෑං,ළෑඃ,ළිං,ළිඃ,ළීං,ළීඃ,ළුං,ළුඃ,ළූං,ළූඃ,ළෘං,ළෘඃ,ළෟං,ළෟඃ,ළෙං,ළෙඃ,ළේං,ළේඃ,ළෛං,ළෛඃ,ළොං,ළොඃ,ළෝං,ළෝඃ,ළෞං,ළෞඃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ර්‍ළ,,ර්‍ළං,ර්‍ළඃ,ළ්‍ය ,ළ්‍යා,ළ්‍යු,ළ්‍යූ,ළ්‍යෙ,ළ්‍යේ,ළ්‍යො ,ළ්‍යෝ ,ළ්‍යං,ළ්‍යඃ,ළ්‍යාං,ළ්‍යාඃ,ළ්‍යුං,ළ්‍යුඃ,ළ්‍යූං,ළ්‍යූඃ,ළ්‍යෙං,ළ්‍යෙඃ,ළ්‍යේං,ළ්‍යේඃ,ළ්‍යොං,ළ්‍යොඃ,ළ්‍යෝං,ළ්‍යෝඃ
ෆ්,ෆ,ෆා,ෆැ,ෆෑ,ෆි,ෆී,ෆු,ෆූ,ෆෘ,ෆෲ,ෆෟ,ෆෳ,ෆෙ,ෆේ,ෆෛ,ෆො,ෆෝ,ෆෞ,ෆං,ෆඃ,ෆාං,ෆාඃ,ෆැං,ෆැඃ,ෆෑං,ෆෑඃ,ෆිං,ෆිඃ,ෆීං,ෆීඃ,ෆුං,ෆුඃ,ෆූං,ෆූඃ,ෆෘං,ෆෘඃ,ෆෟං,ෆෟඃ,ෆෙං,ෆෙඃ,ෆේං,ෆේඃ,ෆෛං,ෆෛඃ,ෆොං,ෆොඃ,ෆෝං,ෆෝඃ,ෆෞං,ෆෞඃ,ෆ්‍ර ,ෆ්‍රා  ,ෆ්‍රැ ,ෆ්‍රෑ ,ෆ්‍රි,ෆ්‍රී,ෆ්‍රෙ,ෆ්‍රේ,ෆ්‍රෛ,ෆ්‍රො,ෆ්‍රෝ,ෆ්‍රෞ,ෆ්‍රං,ෆ්‍රඃ,ෆ්‍රාං,ෆ්‍රාඃ,ෆ්‍රැං,ෆ්‍රැඃ,ෆ්‍රෑං,ෆ්‍රෑඃ,ෆ්‍රිං,ෆ්‍රිඃ,ෆ්‍රීං,ෆ්‍රීඃ,ෆ්‍රෙං,ෆ්‍රෙඃ,ෆ්‍රේං,ෆ්‍රේඃ,ෆ්‍රෛං,ෆ්‍රෛඃ,ෆ්‍රොං,ෆ්‍රොඃ,ෆ්‍රෝං,ෆ්‍රෝඃ,ෆ්‍රෞං,ෆ්‍රෞඃ,ර්‍ෆ,,ර්‍ෆං,ර්‍ෆඃ,ෆ්‍ය ,ෆ්‍යා,ෆ්‍යු,ෆ්‍යූ,ෆ්‍යෙ,ෆ්‍යේ,ෆ්‍යො ,ෆ්‍යෝ ,ෆ්‍යං,ෆ්‍යඃ,ෆ්‍යාං,ෆ්‍යාඃ,ෆ්‍යුං,ෆ්‍යුඃ,ෆ්‍යූං,ෆ්‍යූඃ,ෆ්‍යෙං,ෆ්‍යෙඃ,ෆ්‍යේං,ෆ්‍යේඃ,ෆ්‍යොං,ෆ්‍යොඃ,ෆ්‍යෝං,ෆ්‍යෝඃ
ඥ්,ඥ,ඥා,,,ඥි,ඥී,ඥු,ඥූ,ඥෘ,ඥෲ,ඥෟ,ඥෳ,ඥෙ,ඥේ,ඥෛ,ඥො,ඥෝ,ඥෞ,ඥං,ඥඃ,ඥාං,ඥාඃ ,ඥැං,ඥැඃ,ඥෑං,ඥෑඃ,ඥිං,ඥිඃ,ඥීං,ඥීඃ,ඥුං,ඥුඃ,ඥූං,ඥූඃ,ඥෘං,ඥෘඃ,ඥෟං,ඥෟඃ,ඥෙං,ඥෙඃ,ඥේං,ඥේඃ,ඥෛං,ඥෛඃ,ඥොං,ඥොඃ,ඥෝං,ඥෝඃ,ඥෞං,ඥෞඃ,ඥ්‍ර ,ඥ්‍රා  ,ඥ්‍රැ ,ඥ්‍රෑ ,ඥ්‍රි,ඥ්‍රී,ඥ්‍රෙ,ඥ්‍රේ,ඥ්‍රෛ,ඥ්‍රො,ඥ්‍රෝ,ඥ්‍රෞ,ඥ්‍රං,ඥ්‍රඃ,ඥ්‍රාං,ඥ්‍රාඃ,ඥ්‍රැං,ඥ්‍රැඃ,ඥ්‍රෑං,ඥ්‍රෑඃ,ඥ්‍රිං,ඥ්‍රිඃ,ඥ්‍රීං,ඥ්‍රීඃ,ඥ්‍රෙං,ඥ්‍රෙඃ,ඥ්‍රේං,ඥ්‍රේඃ,ඥ්‍රෛං,ඥ්‍රෛඃ,ඥ්‍රොං,ඥ්‍රොඃ,ඥ්‍රෝං,ඥ්‍රෝඃ,ඥ්‍රෞං,ඥ්‍රෞඃ,ර්‍ඥ,,ර්‍ඥං,ර්‍ඥඃ,ඥ්‍ය ,ඥ්‍යා,ඥ්‍යු,ඥ්‍යූ,ඥ්‍යෙ,ඥ්‍යේ,ඥ්‍යො,ඥ්‍යෝ,ඥ්‍යං,ඥ්‍යඃ,ඥ්‍යාං,ඥ්‍යාඃ,ඥ්‍යුං,ඥ්‍යුඃ,ඥ්‍යූං,ඥ්‍යූඃ,ඥ්‍යෙං,ඥ්‍යෙඃ,ඥ්‍යේං,ඥ්‍යේඃ,ඥ්‍යොං,ඥ්‍යොඃ,ඥ්‍යෝං,ඥ්‍යෝඃ
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Basic permutations per consonant set,,,,,,,,,,,,,,,,,,,Basic Permutations with ං and ඃ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Raakaransaya (lower half circle swirl),,,,,,,,,,,,Raakaransaya (lower half circle swirl) with ං and ඃ,,,,,,,,,,,,,,,,,,,,,,,,Repay,,Repayer with ං and ඃ,,Yansayer,,,,,,,,Yansayer with ං and ඃ,,,,,,,,,,,,,,,
