ඛෛං,ර්‍ජං
ඛෳඃ,ඒ
ග්‍රීඃ,ඒං
ජෳඃ,ඓඃ
ජ්‍යු,ඖඃ
ජ්‍රාඃ,කිඃ
ජ්‍රෛඃ,ක්‍රිඃ
ඣෟ,ඛෑඃ
ඣෳඃ,ඛිඃ
ඤෟඃ,ඛ්‍රි
ඤෲං,ඛ්‍රිං
ඤ්‍යුං,ඛ්‍රිඃ
ඥ්‍රඃ,ඛ්‍රෙං
ඦෲඃ,ගූ
ඦ්‍රෑං,ගීං
ඦ්‍රෙ,ග්‍රඃ
ඩ්‍යා,ග්‍රාඃ
ඩ්‍යුඃ,ග්‍රැං
ඪිඃ,ග්‍රෞං
ඪූං,ග්‍රෞඃ
ඪ්‍රීඃ,ඝි
ඪ්‍රො,ඝෘ
ඬෛ,ඝ්‍රි
ඬ්‍රේඃ,ඝ්‍රිං
තොඃ,ඝ්‍රීං
ත්‍යුං,ඝ්‍යො
ථෲඃ,ඞ්
න්‍රෑං,ඟී
න්‍රෛ,චි
න්‍රෞ,චී
ඳො,චෘ
ඳ්‍රේං,චො
පීං,චෞ
පෳං,චීං
ප්‍රේං,චීඃ
ඵො,චේඃ
ඵ්‍යාං,චෛං
බේඃ,ච්‍රි
භිං,ච්‍රෙ
මැඃ,ච්‍රෞ
ඹෙඃ,ච්‍රං
ඹෛං,ච්‍රැං
ඹෛඃ,ච්‍රිඃ
ර්‍ල,ච්‍රීඃ
ර්‍ලං,ච්‍රෛං
ර්‍ස,ච්‍රොං
ර්‍හ,ච්‍රොඃ
ලීං,ඡි
ල්‍යං,ඡිං
ල්‍ර,ඡිඃ
ල්‍රී,ඡෘඃ
ල්‍රෙං,ඡෙඃ
වෘඃ,ඡ්‍රිං
ව්‍රිං,ඡ්‍රිඃ
ව්‍රීඃ,ජි
ශුඃ,ජේ
ශ්‍රැං,ජාඃ
ෂ්‍යේං,ජැඃ
ෂ්‍රො,ජිං
සූං,ජූඃ
සෲ,ජ්‍රෙ
ස්‍යුං,ජ්‍රෝ
ස්‍රෞං,ජ්‍රිඃ
ෆෲ,ජ්‍රෙං
ෆ්‍යු,ජ්‍රෙඃ
හී,ජ්‍යු
හ්‍යුං,ඣි
හ්‍රං,ඣ්‍රෙ
හ්‍රෑං,ඤී
හ්‍රෞඃ,ඤඃ
,ඤිං
ඍ,ඦි
එං,ඦිඃ
එඃ,ඦීං
ඓං,ඦීඃ
ඖඃ,ඦ්‍රිං
ක්‍යුඃ,ඦ්‍රිඃ
ඛ,ඦ්‍යාං
ඛි,ට්
ඛිං,ටි
ඛිඃ,ටිං
ඛුං,ටුඃ
ඛුඃ,ටූඃ
ඛූං,ටෘං
ඛේ,ටෘඃ
ඛ්‍යු,ටෟං
ඛ්‍යුං,ටෟඃ
ඛ්‍ර,ටෙඃ
ඛ්‍රාඃ,ටොඃ
ඛ්‍රැ,ටෞඃ
ඛ්‍රෑං,ට්‍රේ
ඛ්‍රෑඃ,ට්‍රෝ
ඛ්‍රිඃ,ට්‍රඃ
ඛ්‍රී,ට්‍රැං
ඛ්‍රීඃ,ට්‍රෑඃ
ඛ්‍රේං,ට්‍රිඃ
ග්‍යුං,ට්‍රොඃ
ග්‍යුඃ,ට්‍යේ
ග්‍රැඃ,ට්‍යෙඃ
ග්‍රෑං,ඨිඃ
ග්‍රෑඃ,ඨ්‍රි
ග්‍රි,ඨ්‍රෙඃ
ග්‍රිං,ඨ්‍යෝඃ
ග්‍රිඃ,ඩිං
ග්‍රී,ඩිඃ
ග්‍රීං,ඩීං
ඝී,ඩීඃ
ඝුං,ඩ්‍රේං
ඝ්‍රීං,ඪ්
ඝ්‍රේ,ඪි
ඝ්‍රේඃ,ඪෙ
ඟුං,ඪං
ඟුඃ,ඪෑඃ
ඟ්‍යු,ඪිං
ඟ්‍යුං,ඪිඃ
ඟ්‍යුඃ,ඪීං
ඟ්‍රිං,ඪෟං
ඟ්‍රී,ඪ්‍රී
චීඃ,ඪ්‍රඃ
චුං,ඪ්‍රිඃ
චුඃ,ඪ්‍රෛං
චූ,ඪ්‍රෛඃ
චෙ,ඪ්‍යො
චෙං,ඪ්‍යෝ
චෞං,ඪ්‍යෝඃ
ච්‍යු,ඬි
ච්‍යුං,ඬිඃ
ච්‍යුඃ,ඬීං
ච්‍යේඃ,ඬ්‍රි
ච්‍යෝඃ,ඬ්‍රිඃ
ච්‍රාඃ,ත්
ච්‍රෑං,තිං
ච්‍රී,තිඃ
ච්‍රීං,ථි
ච්‍රීඃ,ථී
ච්‍රේ,ථිං
ච්‍රේං,ථිඃ
ච්‍රෝ,ථීං
ඡිඃ,ථ්‍ර
ඡී,ථ්‍රි
ඡ්,ථ්‍රෞ
ඡ්‍යුඃ,ථ්‍රැං
ඡ්‍රං,ථ්‍රැඃ
ඡ්‍රඃ,ථ්‍රෑං
ඡ්‍රි,ථ්‍රිං
ඡ්‍රිං,ථ්‍රීං
ඡ්‍රිඃ,ථ්‍රෞඃ
ජිඃ,දි
ජුං,දැඃ
ජ්‍යුඃ,දිං
ජ්‍ර,දුඃ
ජ්‍රා,දූං
ජ්‍රී,ද්‍රෙ
ඣිං,ධූං
ඣීඃ,ඳිං
ඣුං,ඳ්‍රිං
ඣ්‍යු,ඳ්‍රිඃ
ඣ්‍යුං,පි
ඣ්‍යුඃ,පිං
ඣ්‍යෙං,පුඃ
ඣ්‍යේං,පෲං
ඣ්‍රෑ,ප්‍රී
ඣ්‍රෑං,ප්‍රිඃ
ඣ්‍රිං,ප්‍යුඃ
ඣ්‍රීං,ඵ්
ඤඃ,ඵි
ඤෑ,ඵිං
ඤුං,ඵිඃ
ඤ්‍යු,ඵෘං
ඥුඃ,ඵ්‍රැ
ඥෘඃ,ඵ්‍රේ
ඥ්‍යු,ඵ්‍රිඃ
ඥ්‍යුං,බ්‍ර
ඥ්‍යුඃ,බ්‍රෑ
ඦූ,බ්‍රෞ
ඦූං,බ්‍රාං
ඦෘඃ,බ්‍රෑං
ඦෲං,බ්‍රෛඃ
ඦ්‍යඃ,බ්‍රොඃ
ඦ්‍යුං,බ්‍රෞං
ඦ්‍ර,භි
ඦ්‍රි,භෙ
ඦ්‍රිං,භෑඃ
ඦ්‍රිඃ,භේං
ඦ්‍රී,භ්‍රිඃ
ඦ්‍රේඃ,භ්‍රීඃ
ටි,ම
ටිඃ,මි
ට්‍රා,මී
ට්‍රි,මීං
ට්‍රිං,මෙං
ට්‍රිඃ,මෛඃ
ට්‍රී,ම්‍ර
ඨ්‍යු,ම්‍රි
ඨ්‍රි,ම්‍රී
ඨ්‍රිං,ම්‍රෙ
ඨ්‍රිඃ,ම්‍රෛ
ඨ්‍රීං,ම්‍රෝ
ඩ්‍යං,ම්‍රං
ඩ්‍යු,ම්‍රඃ
ඩ්‍යුං,ම්‍රාං
ඩ්‍යෝ,ම්‍රාඃ
ඩ්‍රැඃ,ම්‍රෑං
ඩ්‍රිං,ම්‍රෑඃ
ඩ්‍රිඃ,ම්‍රේං
ඩ්‍රීං,ම්‍රේඃ
ඩ්‍රීඃ,ම්‍රොං
ඩ්‍රෙං,ම්‍රොඃ
ඩ්‍රෙඃ,ම්‍රෝං
ඪිං,ම්‍රෝඃ
ඪු,ම්‍රෞං
ඪුඃ,ම්‍රෞඃ
ඪ්‍යු,ඹෑ
ඪ්‍යුං,ඹි
ඪ්‍යුඃ,ඹිං
ඪ්‍රි,ඹ්‍රො
ඪ්‍රිං,ලිං
ඪ්‍රීං,ල්‍රැං
ඪ්‍රෙඃ,ල්‍රැඃ
ණෛ,ල්‍රෑං
ඬීඃ,වි
ඬු,ව්‍රෞඃ
ඬුං,ශි
ඬේ,ෂි
ඬේං,ෂිං
ඬ්‍යුං,ෂීං
ඬ්‍රිං,ෂීඃ
තිඃ,ෂූං
තීං,ෂෘං
ත්‍රීඃ,ෂ්‍ර
ථි,ෂ්‍රෑ
ථිං,ෂ්‍රේ
ථිඃ,සෲ
ථීඃ,ස්‍රිඃ
ථුං,හාඃ
ථ්,හේං
ථ්‍යු,හ්‍රෙ
ථ්‍යුං,හ්‍රෑඃ
ථ්‍යුඃ,හ්‍රෛං
ථ්‍රැ,හ්‍ය
ථ්‍රි,හ්‍යේ
ථ්‍රිං,හ්‍යො
ථ්‍රිඃ,ළී
ථ්‍රී,ෆ්‍රී
ථ්‍රීං,ඥු
ථ්‍රීඃ,ඥෘ
ථ්‍රෙ,ඥිං
ථ්‍රෙං,ඥිඃ
ථ්‍රේං,ර්‍ඥං
දුඃ,ඛ්‍රීඃ
දූ,ඛ්‍රෙඃ
ද්‍යුඃ,ඛ්‍රේඃ
ද්‍රි,ග්‍රං
ද්‍රීං,ග්‍රාං
ද්‍රෙඃ,ග්‍රැඃ
ද්‍රො,ග්‍රෑං
ධ්‍යුඃ,ග්‍රෑඃ
ධ්‍රෛ,ග්‍රිං
න්‍යුං,ග්‍රිඃ
න්‍යුඃ,ග්‍රීං
න්‍රිඃ,ඝෙඃ
න්‍රීඃ,ඝෛං
ඳෘ,ඝ්‍රේ
ඳ්‍යුං,ඝ්‍රැඃ
ඳ්‍යුඃ,චෙ
ඳ්‍රීං,චිං
පුඃ,ඡුං
ප්‍යු,ඡ්‍රැ
ප්‍යුං,ජෑඃ
ප්‍යුඃ,ජිඃ
ප්‍රිං,ජ්‍රො
ප්‍රීඃ,ජ්‍රිං
ප්‍රේ,ජ්‍රෛං
ප්‍රේඃ,ජ්‍රෛඃ
ප්‍රෛ,ජ්‍රොං
ඵැඃ,ජ්‍රොඃ
ඵි,ර්‍ජ
ඵිං,ජ්‍යා
ඵිඃ,ඣ්‍රිං
ඵී,ඣ්‍රිඃ
ඵීං,ඣ්‍රීං
ඵුං,ඦ්‍රෑ
ඵුඃ,ඦ්‍රෙං
ඵූං,ඦ්‍රොඃ
ඵූඃ,ටූ
ඵේඃ,ටෞ
ඵ්,ට්‍රො
ඵ්‍යුඃ,ට්‍රිං
ඵ්‍ර,ට්‍රීං
ඵ්‍රා,ට්‍රීඃ
ඵ්‍රෑං,ඨෛ
ඵ්‍රෑඃ,ඩ්‍රෑඃ
ඵ්‍රි,ඪ්‍රි
ඵ්‍රිඃ,ඪ්‍යෙ
ඵ්‍රී,ඬ්‍රී
ඵ්‍රෞ,තාං
බුං,තාඃ
බුඃ,තැං
බෟං,තෘඃ
බ්‍යු,තෲඃ
බ්‍යුං,තෙඃ
බ්‍රේඃ,ත්‍රී
භ්‍යුං,ත්‍රිං
භ්‍යුඃ,ත්‍රීඃ
භ්‍රං,ත්‍රේඃ
භ්‍රාඃ,ත්‍රොං
භ්‍රැඃ,ර්‍ත
භ්‍රි,ත්‍යාඃ
භ්‍රිඃ,ත්‍යොඃ
භ්‍රීඃ,ථෛ
මෑං,ථ්‍රිඃ
මෑඃ,ථ්‍රීඃ
මි,ථ්‍රෙං
මිං,ථ්‍රෙඃ
මිඃ,ථ්‍රේං
මුං,දෑං
මෟ,දෙඃ
මෲ,ද්‍රෑ
ම්‍යු,ද්‍රි
ම්‍යුං,ද්‍රාඃ
ම්‍යුඃ,ද්‍රෙං
ම්‍රි,ද්‍රෙඃ
ම්‍රිං,ද්‍රේඃ
ම්‍රිඃ,න්‍රි
ම්‍රී,ඳිඃ
ම්‍රීඃ,ඳුං
ඹි,පී
ඹිං,පිඃ
ඹිඃ,පීං
ඹොඃ,ප්‍රෙඃ
ඹ්‍යු,ප්‍යේඃ
ඹ්‍යුං,ඵූ
ඹ්‍යුඃ,ඵෙ
ඹ්‍රි,ඵ්‍රා
ඹ්‍රිං,ඵ්‍රි
ඹ්‍රිඃ,ඵ්‍රී
ඹ්‍රී,ඵ්‍රෙ
ය්‍යුං,ඵ්‍රො
ය්‍යුඃ,ඵ්‍රඃ
ය්‍රි,බෑඃ
රැඃ,බ්‍රී
රෑ,බ්‍රීං
රි,භ්‍රෙං
රිං,භ්‍රෙඃ
රිඃ,භ්‍රේං
රෲ,මූ
ර්‍ඛ,මං
ර්‍චං,මඃ
ර්‍ඪ,මැඃ
ර්‍ඵඃ,මෑං
ර්‍බ,මෑඃ
ර්‍ව,මිඃ
ලැං,ම්‍රෑ
ලු,ම්‍රිං
ලුං,ම්‍රිඃ
ලුඃ,ම්‍රීං
ල්‍යුං,ම්‍රෛං
ල්‍යුඃ,ර්‍ම
ල්‍රාඃ,ර්‍මං
ල්‍රි,ර්‍මඃ
ල්‍රිඃ,ඹිඃ
ල්‍රීඃ,ඹ්‍රි
වීං,ඹ්‍රෝ
ව්‍යු,ඹ්‍රැඃ
ව්‍රි,ඹ්‍රෙං
ශ්‍රි,ඹ්‍රේඃ
ශ්‍රී,ඹ්‍රෛඃ
ෂිං,ඹ්‍රොං
ෂිඃ,ඹ්‍රොඃ
ෂීඃ,ඹ්‍රෝං
ෂුං,ඹ්‍රෝඃ
ෂූ,ඹ්‍රෞඃ
ෂෘඃ,ය්‍රැ
ෂ්‍ර,ය්‍රිඃ
ෂ්‍රිං,ය්‍රීං
ෂ්‍රිඃ,ය්‍රීඃ
ෂ්‍රී,රෑ
ෂ්‍රීං,රි
ෂ්‍රීඃ,රිඃ
ෂ්‍රේ,රූං
සුඃ,රූඃ
සෲඃ,රෙං
ස්‍යු,රෙඃ
ස්‍යේං,ලඃ
ස්‍ර,ලාං
ස්‍රැං,ලිඃ
ස්‍රෑ,ලීං
ස්‍රිං,ලෳං
ස්‍රෙං,ලෙං
ස්‍රේං,ල්‍රාඃ
ස්‍රේඃ,ල්‍රිං
ස්‍රෝ,ල්‍රිඃ
ෆිං,ල්‍රීං
ෆිඃ,ල්‍රීඃ
ෆු,වීඃ
ෆ්‍යුඃ,ශූං
ෆ්‍රිං,ශ්‍රි
හ්‍යු,ශ්‍රී
හ්‍යුඃ,ශ්‍රෙ
හ්‍රා,ශ්‍රිඃ
හ්‍රාං,ර්‍ශ
හ්‍රැ,ෂේඃ
හ්‍රැං,ස්‍රේ
හ්‍රැඃ,ර්‍සං
හ්‍රෑ,හ්‍රී
හ්‍රි,හ්‍රෞ
හ්‍රිඃ,හ්‍රැඃ
හ්‍රෙ,හ්‍රිං
ළී,හ්‍රීං
ළීඃ,හ්‍රෙං
ළෘං,හ්‍රෝඃ
ළේඃ,හ්‍යාඃ
ළ්,ළෑ
ළ්‍යු,ළොඃ
ද්‍රේ,ෆ්‍රිඃ
ර්‍ද,ර්‍ෆං
ඒඃ,ර්‍ෆඃ
ක්‍රෙඃ,ඟ්
ක්‍රෝ,ඟු
ඛ්‍රෙං,ඵ්‍රිං
ඛ්‍රෙඃ,භ්‍රෞං
ග්‍රෙං,මීඃ
ග්‍රෙඃ,මුං
ග්‍රේං,මෲඃ
ච්‍රෞං,ඏඃ
ජෘං,ඓං
ජ්‍රෙ,ඕඃ
ඣෛ,ඖං
ඣ්‍රීඃ,කෑඃ
ඣ්‍රේඃ,කිං
ඤෟ,ඛෟ
ඤෲඃ,ගිං
ඤ්‍රැං,ග්‍රී
ඦූඃ,ග්‍රීඃ
ට්‍රෙං,ග්‍රෙං
ට්‍රෙඃ,ග්‍රෙඃ
ඨි,ඝ්‍යේඃ
ඩ්‍රී,චේං
ඩ්‍රෛං,ච්‍රෝං
ඬේඃ,ඡේං
ථ්‍රැඃ,ජ්‍රෞඃ
ථ්‍රෑං,ඣ්‍රීඃ
දෘ,ඣ්‍යෙඃ
ද්‍රාං,ඣ්‍යෝං
ඳ්‍රීඃ,ඣ්‍යෝඃ
පූං,ඦ්‍රේ
ඵ්‍රං,ඦ්‍යුං
ඵ්‍රඃ,ටීඃ
ඵ්‍රාං,ටේඃ
භි,ටෛඃ
භ්‍රේං,ට්‍රෙං
ඹ්‍රෛං,ට්‍රෙඃ
ර්‍චඃ,ඩෘං
ර්‍ලඃ,ඩ්‍රිං
ර්‍ශ,ඩ්‍රිඃ
ශ්‍රෛ,ඩ්‍රීං
කිං,ඩ්‍රීඃ
ගෛං,ඩ්‍රේඃ
ඝෛං,ථ්‍රෙ
ඣ්‍රෑඃ,ථ්‍රෛඃ
ඣ්‍රිඃ,ද්‍රෞ
ට්‍රීං,න්‍රිඃ
ට්‍රීඃ,ඳි
ඨෞං,ප්‍රිං
ඩ්‍රෑං,ප්‍රීං
ඵ්‍රැං,ඵුං
ඵ්‍රීං,ඵොඃ
ර්‍හං,ඵ්‍රෝ
හොං,ඵ්‍රෞ
ඛ්‍රිං,ඵ්‍රැං
ඛ්‍රීං,ඵ්‍රැඃ
භ්‍රීං,ඵ්‍රෑං
භ්‍රෙං,භ්‍රීං
භ්‍රෙඃ,ම්‍රේ
ශ්‍රේ,ම්‍රීඃ
ඟූං,ඹ්‍රාඃ
ඟූඃ,ඹ්‍රිං
ජිං,ඹ්‍රිඃ
ජ්,ය්‍රී
ඝෙ,ශ්‍රේ
ඝ්‍රෛඃ,ශ්‍රෛ
ඟ්‍යොඃ,ළුඃ
ඟ්‍රෛ,ළූං
ඡෙඃ,ළෛඃ
ඡේ,ඎඃ
ඡේං,ගූඃ
ඡ්‍ර,ර්‍ග
ග්‍යු,ඝු
ඝ්‍යුඃ,ර්‍ඟඃ
ර්‍ඝා,ච්‍රේ
,ච්‍රඃ
,ර්‍ච
,ඡීඃ
,ඡෙං
,ජ්‍යොඃ
,ඣ්‍යේඃ
,ඤ්‍යු
,ඦ්‍රෙ
,ඦ්‍රැඃ
,ඦ්‍යං
,ට්‍රේං
,ට්‍රේඃ
,ට්‍රෞඃ
,ට්‍යඃ
,ට්‍යාඃ
,ඪාං
,ඪ්‍රේං
,ඪ්‍යං
,ණ්‍යු
,ඬ්‍රෑ
,ථෙං
,ථෞං
,ද්‍රේං
,බ්‍රෝඃ
,මෘඃ
,මෙඃ
,ම්‍යා
,ඹ්‍රා
,රෘං
,රොං
,ලෙඃ
,ව්‍රෝඃ
,ස්‍රෙ
,ස්‍යු
,හෛ
,ර්‍ඛඃ
,ඥුඃ
,ඛ්
,ඛො
,ඛැඃ
,ඛ්‍යු
,චූං
,ජ්‍රෞං
,ර්‍ඣ
,ඣ්‍යුඃ
,ඤෟං
,ඦෘ
,ඦේ
,ඦ්‍රො
,ඦ්‍රෛං
,ඦ්‍රොං
,ට්‍රැඃ
,ඨේ
,ඪ්‍රාං
,ඪ්‍යේඃ
,ථෳඃ
,දේඃ
,නාං
,න්‍යඃ
,පඃ
,පූඃ
,ප්‍යෝං
,භෝං
,මේං
,ම්‍රො
,ම්‍රෛඃ
,ඹ්‍රේං
,ඹ්‍රෛං
,ඹ්‍යුඃ
,ඹ්‍යොඃ
,රුඃ
,රෟඃ
,ලෛ
,ල්‍යෙඃ
,ව්‍රීඃ
,ව්‍යු
,ශ්‍රිං
,ෂ්‍රෞඃ
,හැඃ
,හීඃ
,හ්‍රඃ
,හ්‍රෛඃ
,හ්‍යෙඃ
,හ්‍යේඃ
,ළෟං
,ළේං
,ළෝඃ
,ළ්‍යෝං
,ඛ්‍රීං
,ච්‍රො
,ජ්‍යෝඃ
,ඦ්‍යාඃ
,ඪ්‍යඃ
,ථූ
,ථ්‍රේඃ
,මිං
,මෟඃ
,ඹ්‍රෛ
,ඹ්‍රෙඃ
,ර්‍ෆ
,ඣ්‍යොඃ
,ඦෞං
,ට්‍යෝං
,ථ්‍රෛං
,ඹෲඃ
,රෞඃ
,කාඃ
,ඟ්‍රෛ
,චෲඃ
,ජ්‍යේ
,ඦ්‍රෞං
,ටේ
,ටේං
,තෙ
,ධේ
,ඵ්‍රෝං
,ලෟඃ
,ස්‍රෙඃ
,හෙං
